Day,Teams
1,"RCB,SRH"
2,"MI,KKR"
3,"RR,CSK"
4,"PBKS,GT"
5,"LSG,DC"
6,"KKR,SRH"
7,"CSK,PBKS"
8,"DC,MI,GT,RR"
9,"SRH,LSG,RCB,CSK"
10,"KKR,PBKS"
11,"RR,MI"
12,"DC,GT"
13,"KKR,LSG"
14,"RR,RCB"
15,"PBKS,SRH,CSK,DC"
16,"LSG,GT,MI,RCB"
17,"SRH,RR"
18,"CSK,KKR"
19,"RCB,LSG"
20,"MI,PBKS"
21,"GT,KKR"
22,"RCB,DC,SRH,CSK"
23,"KKR,RR,PBKS,LSG"
24,"GT,MI"
25,"SRH,DC"
26,"LSG,RR"
27,"MI,CSK"
28,"RCB,GT"
29,"DC,PBKS,RR,SRH"
30,"GT,CSK,LSG,KKR"
31,"DC,RCB"
32,"PBKS,RR"
33,"MI,SRH"
34,"GT,RCB"
35,"RR,DC"
36,"CSK,MI"
37,"SRH,KKR,GT,PBKS"
38,"MI,LSG"
39,"DC,CSK"
40,"SRH,PBKS"
