owner_name,player_name,franchise,bid_price,role,released_injured,day1,day2,day3,day4,day5,day6,day7
Asif,Anshul Kamboj,CSK,300,All-rounder,N,,,91,,,,
Asif,Ishan Kishan,SRH,1950,Wicketkeeper,N,164,,,,,46,
Asif,Kartik Tyagi,KKR,290,Bowler,N,,41,,,,43,
Asif,Kuldeep Sen,RR,100,Bowler,N,,,0,,,,
Asif,Mohammed Siraj,GT,640,Bowler,N,,,,10,,,
Asif,Mukesh Choudhary,CSK,220,Bowler,N,,,0,,,,
Asif,Nitish Rana,DC,420,Batter,N,,,,,33,,
Asif,Prabhsimran Singh,PBKS,820,Wicketkeeper,N,,,,77,,,
Asif,Salil Arora,SRH,180,Wicketkeeper,N,19,,,,,2,
Asif,Venkatesh Iyer,RCB,490,All-rounder,N,0,,,,,,
Asif,Virat Kohli,RCB,1700,Batter,N,145,,,,,,
Asif,Tim Seifert,KKR,200,Wicketkeeper,N,,0,,,,0,
Asif,Manimaran Siddharth,LSG,190,Bowler,N,,,,,0,,
Asif,Azmatullah Omarzai,PBKS,600,All-rounder,N,,,,0,,,
Asif,Shimron Hetmyer,RR,1350,Batter,N,,,10,,,,
Asif,Nandre Burger,RR,100,Bowler,N,,,88,,,,
Asif,Liam Livingstone,SRH,450,All-rounder,N,0,,,,,0,
Johnson,Ashutosh Sharma,DC,280,Batter,N,,,,,0,,
Johnson,Deepak Chahar,MI,500,Bowler,N,,0,,,,,
Johnson,Kartik Sharma,CSK,410,Wicketkeeper,N,,,28,,,,
Johnson,Mukesh Kumar,DC,360,Bowler,N,,,,,39,,
Johnson,Prashant Veer,CSK,250,All-rounder,N,,,0,,,,
Johnson,Ravindra Jadeja,RR,470,All-rounder,N,,,85,,,,
Johnson,Rinku Singh,KKR,430,Batter,N,,69,,,,83,
Johnson,Ruturaj Gaikwad,CSK,1600,Batter,N,,,10,,,,
Johnson,Shashank Singh,PBKS,430,Batter,N,,,,8,,,
Johnson,Vaibhav Arora,KKR,310,Bowler,N,,36,,,,78,
Johnson,Lungi Ngidi,DC,100,Bowler,N,,,,,115,,
