owner_name,player_name,country,bid_price,role,c_day1,vc_day1,day1,c_day2,vc_day2,day2,c_day3,vc_day3,day3,c_day4,vc_day4,day4
Asif,Abhishek Sharma,India,3000,Batter,1,0,2,1,0,0,1,0,0,0,0,0
Asif,Akeal Hosein,West Indies,240,Bowler,0,0,-1,0,0,0,0,0,0,0,0,0
Asif,Andries Gous,USA,520,Batter,0,0,22,0,0,0,0,0,0,0,0,0
Asif,Darwish Rasooli,Afghanistan,400,Batter,0,0,0,0,0,38,0,0,0,0,0,0
Asif,Dushmantha Chameera,Srilanka,420,Bowler,0,0,0,0,0,50,0,0,0,0,0,0
Asif,Harry Tector,Ireland,50,Batter,0,0,0,0,0,54,0,0,0,0,0,0
Asif,Lungi Ngidi,South Africa,650,Bowler,0,0,0,0,0,0,0,0,146,0,0,0
Asif,Johnson Charles,West Indies,260,Batter,0,0,0,0,0,0,0,0,0,0,0,0
Asif,Louren Steenkamp,Namibia,200,Batter,0,0,0,0,0,0,0,0,0,0,0,14
Asif,Matthew Renshaw,Australia,200,Batter,0,0,0,0,0,0,0,0,0,0,0,0
Asif,Milind Kumar,USA,50,All-rounder,0,0,88,0,0,0,0,0,0,0,0,0
Asif,Naseem Shah,Pakistan,200,Bowler,0,0,0,0,0,0,0,0,0,0,0,0
Asif,Quinton de Kock,South Africa,1450,Wicket-keeper/Batter,0,1,0,0,1,0,0,1,57,0,1,0
Asif,Saim Ayub,Pakistan,1350,Batter,0,0,118,0,0,0,0,0,0,0,0,0
Asif,Tom Banton,England,800,Wicket-keeper/Batter,0,0,0,0,0,14,0,0,0,0,0,0
Asif,Wellington Masakadza,Zimbabwe,210,Bowler,0,0,0,0,0,0,0,0,11,0,0,0
Johnson,Anrich Nortje,South Africa,1300,Bowler,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,Brian Bennett,Zimbabwe,270,All-rounder,0,0,0,0,0,0,0,0,100,0,0,0
